Case Summary,Case Status,Case Source,Case Created Date,Case Created dttm,Case Closed Date,Case Closed dttm,First Call Resolution,Customer Zip Code,Incident Address 1,Incident Address 2,Incident Intersection 1,Incident Intersection 2,Incident Zip Code,Longitude,Latitude,Agency,Division,Major Area,Type,Topic,Council District,Police District,Neighborhood
Responsible party for property taxes (mortgage company or home owner),Closed - Other,Phone,1/28/2015,1/28/2015 11:17,1/28/2015,1/28/2015 23:59,N,80201-8733,Po Box 8733,,,,80201-8733,-105,40,Finance,,,Inquiry,,9,6,CBD
Can I request a copy of tax bill/statement,Closed - Other,Phone,1/21/2015,1/21/2015 8:49,1/21/2015,1/21/2015 23:59,N,87710-0781,Po Box 781,,,,87710-0781,-105,36,311,,,Inquiry,,,,
"Voter registration, requirements, updates, poll watchers, etc...",Closed - Other,Phone,4/2/2015,4/2/2015 14:05,4/3/2015,4/3/2015 23:59,N,80207-3057,Po Box 7376,,,,80207-0376,-105,40,Clerk & Recorder,,,Inquiry,,8,2,North Park Hill
"Voter registration, requirements, updates, poll watchers, etc...",Closed - Other,Phone,4/2/2015,4/2/2015 14:05,4/3/2015,4/3/2015 23:59,N,,Po Box 7376,,,,80207-0376,-105,40,Clerk & Recorder,,,Inquiry,,8,2,North Park Hill
"Use tax registration, due dates and definition",Closed - Other,Phone,1/5/2015,1/5/2015 10:35,1/5/2015,1/5/2015 23:59,N,80520-0714,Po Box 714,,,,80520-0714,-105,40,311,,,Inquiry,,,,
Noise Complaints,Closed - Other,Phone,8/31/2015,8/31/2015 14:02,9/11/2015,9/11/2015 23:59,N,80246-5204,Po Box 461204,,,,80246-5204,-105,40,Environmental Health,,,Complaint,,6,3,Washington Virginia Vale
Adoptable animals,Closed - Other,Phone,8/17/2015,8/17/2015 11:44,8/17/2015,8/17/2015 23:59,N,92317-3640,Po Box 3640,,,,92317-3640,-117,34,311,,,Inquiry,,,,
Marriage record request,Closed - Other,Phone,9/30/2015,9/30/2015 13:44,9/30/2015,9/30/2015 23:59,N,30052-1971,Po Box 3177,,,,30052-1971,-84,34,Clerk & Recorder,,,Request,,,,
Marriage record request,Closed - Other,Phone,1/20/2015,1/20/2015 8:42,1/20/2015,1/20/2015 23:59,N,80201-2590,Po Box 2590,,,,80201-2590,-105,40,Clerk & Recorder,,,Request,,9,6,CBD
Senior Citizen Exemption Application,Closed - Other,Phone,2/3/2015,2/3/2015 14:40,2/3/2015,2/3/2015 23:59,N,80220-0934,Po Box 200934,,,,80220-0934,-105,40,Finance,,,Inquiry,,5,2,Montclair
Consequence of not paying service lien,Closed - Other,Phone,3/9/2015,3/9/2015 11:18,3/9/2015,3/9/2015 23:59,Y,80219-0235,Po Box 19235,,,,80219-0235,-105,40,Finance,,,Inquiry,,3,4,Westwood
Lost pet found on Denvergov,Closed - Other,Phone,5/28/2015,5/28/2015 15:39,5/29/2015,5/29/2015 23:59,N,80219-0192,Po Box 19192,,,,80219-0192,-105,40,Environmental Health,,,Inquiry,,3,4,Westwood
Property tax payment,Closed - Other,Phone,2/27/2015,2/27/2015 13:50,2/27/2015,2/27/2015 23:59,N,80218-8832,Po Box 181695,,,,80218-8832,-105,40,Finance,,,Inquiry,,10,6,Cheesman Park
Schedule inspection/sign-off of mobile/cart,Closed - Other,Phone,2/10/2015,2/10/2015 11:38,2/10/2015,2/10/2015 23:59,N,80214,Po Box 140128,,,,80214-0128,-105,40,311,,,Inquiry,,,,
Senior Citizen Exemption Application,Closed - Other,Phone,9/18/2015,9/18/2015 12:14,9/18/2015,9/18/2015 23:59,N,80212-0187,Po Box 12187,,,,80212-0187,-105,40,Finance,,,Inquiry,,1,1,Berkeley
Property tax payment,Closed - Other,Phone,4/13/2015,4/13/2015 9:05,4/13/2015,4/13/2015 23:59,N,80250-1476,Po Box 101476,,,,80250-1476,-105,40,Finance,,,Inquiry,,6,3,University Park
Property tax payment,Closed - Other,Phone,4/20/2015,4/20/2015 8:43,4/20/2015,4/20/2015 23:59,N,80210-6628,Po Box 101476,,,,80250-1476,-105,40,Finance,,,Inquiry,,6,3,University Park
Property tax mailing address and responsible party information,Closed - Other,Phone,4/23/2015,4/23/2015 9:06,4/23/2015,4/23/2015 23:59,N,80210-6628,Po Box 101476,,,,80250-1476,-105,40,Finance,,,Inquiry,,6,3,University Park
renewal license,Closed - Answer Provided,Phone,12/7/2015,12/7/2015 19:21,12/7/2015,12/7/2015 23:23,Y,,PO 18052,,,,80402,-105.2191474,39.75912332,Parks & Recreation,,,Inquiry,,,,
Sidewalk Damage,Closed - Other,Phone,2/9/2015,2/9/2015 12:51,2/16/2015,2/16/2015 23:59,N,80235,Pierce,Princeton,,,,0,0,311,,,Inquiry,,,,
Loose Dog Without Owner / Leash Law Violation,Closed - Other,Phone,11/10/2015,11/10/2015 8:25,11/10/2015,11/10/2015 23:59,N,80239,Pena,56th,,,,0,0,Environmental Health,,,Complaint,,,,
Dead animal,Closed - Duplicate Case,Phone,12/4/2015,12/4/2015 20:47,12/4/2015,12/4/2015 21:54,N,,Nowhere st,,,,11111,-104.9922976,39.74001215,Public Works,,,Request,,,,
Call back from shelter,Closed - Answer Provided,Phone,12/4/2015,12/4/2015 19:06,12/4/2015,12/4/2015 22:10,N,,nowhere st,,,,0,-104.9922976,39.74001215,Environmental Health,,,Request,,,,
Dispatcher Notes - Animal,Closed - Answer Provided,Email - 311,11/18/2015,11/18/2015 12:05,11/20/2015,11/20/2015 1:38,Y,,none,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
699215,Closed - Other,Email - 311,11/18/2015,11/18/2015 20:47,11/21/2015,11/21/2015 21:08,Y,,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Routed to Agency,PocketGov,11/18/2015,11/18/2015 18:24,,,,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Not Enough Info,PocketGov,11/19/2015,11/19/2015 0:28,11/21/2015,11/21/2015 19:56,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,11/19/2015,11/19/2015 16:01,11/21/2015,11/21/2015 17:58,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,11/19/2015,11/19/2015 20:45,11/21/2015,11/21/2015 15:44,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,11/19/2015,11/19/2015 18:11,11/21/2015,11/21/2015 16:31,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Dispatcher Notes - Animal,Closed - Not Enough Info,Email - 311,11/23/2015,11/23/2015 12:05,11/23/2015,11/23/2015 14:47,,,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Carts left in Alley,Closed - Answer Provided,Phone,11/23/2015,11/23/2015 19:52,11/23/2015,11/23/2015 20:29,N,80239,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Dispatcher Notes - Animal,Closed - Answer Provided,Email - 311,11/25/2015,11/25/2015 12:05,11/25/2015,11/25/2015 18:18,Y,,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,11/25/2015,11/25/2015 16:15,11/25/2015,11/25/2015 18:36,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Street Sweeping,Closed - Answer Provided,Email - 311,11/26/2015,11/26/2015 0:07,11/27/2015,11/27/2015 15:26,Y,,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Not Enough Info,PocketGov,12/1/2015,12/1/2015 19:30,12/2/2015,12/2/2015 19:20,N,0,NA,,,,,-104.9846994,39.73914743,Environmental Health,,,Complaint,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,12/1/2015,12/1/2015 16:13,12/2/2015,12/2/2015 18:32,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
311 Snow and Ice Covered Sidewalks,Closed - Answer Provided,Email - 311,12/1/2015,12/1/2015 14:36,12/2/2015,12/2/2015 17:50,,,NA,,,,,-104.9846994,39.73914743,Community Planning & Development,,,Complaint,,,,
Submitted Question to PocketGov,Closed - Not Enough Info,PocketGov,12/1/2015,12/1/2015 18:03,12/2/2015,12/2/2015 19:12,N,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Not Enough Info,PocketGov,12/1/2015,12/1/2015 17:10,12/2/2015,12/2/2015 18:51,,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
[SPAM]  Fwd: PETFINDER INQUIRY:,Closed - Out of Jurisdiction,Email - 311,12/13/2015,12/13/2015 21:05,12/13/2015,12/13/2015 21:25,N,,NA,,,,,-104.9846994,39.73914743,Environmental Health,,,Complaint,,,,
[SPAM]  Fwd: PETFINDER INQUIRY:,Closed - Duplicate Case,Email - 311,12/13/2015,12/13/2015 20:57,12/13/2015,12/13/2015 21:31,Y,,NA,,,,,-104.9846994,39.73914743,Environmental Health,,,Complaint,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,12/14/2015,12/14/2015 21:38,12/14/2015,12/14/2015 21:55,,0,NA,,,,,-104.9846994,39.73914743,Environmental Health,,,Complaint,,,,
Icy paths on Lakewood Gulch,Closed - Answer Provided,Email - 311,12/14/2015,12/14/2015 13:59,1/7/2016,1/7/2016 18:02,N,,NA,,,,,-104.9846994,39.73914743,Parks & Recreation,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,12/14/2015,12/14/2015 16:09,12/14/2015,12/14/2015 20:51,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
snow sidewalk,Closed - Answer Provided,Email - 311,12/15/2015,12/15/2015 15:14,12/28/2015,12/28/2015 15:12,Y,,NA,,,,,-104.9846994,39.73914743,Community Planning & Development,,,Complaint,,,,
trash,Closed - Answer Provided,Phone,12/15/2015,12/15/2015 16:01,12/15/2015,12/15/2015 16:02,Y,,NA,,,,,,,Public Works,,,Request,,,,
Snow Removal,Closed - Answer Provided,PocketGov,12/15/2015,12/15/2015 17:09,12/28/2015,12/28/2015 14:42,Y,0,NA,,,,,,,Public Works,,,Request,,,,
help with compost bin account number,Closed - Answer Provided,Email - 311,12/16/2015,12/16/2015 0:38,12/16/2015,12/16/2015 15:24,N,,Na,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Snow Removal,Closed - Answer Provided,PocketGov,12/19/2015,12/19/2015 18:16,12/26/2015,12/26/2015 22:06,Y,0,NA,,,,,,,Community Planning & Development,,,Complaint,,,,
uu,Closed - Answer Provided,Phone,12/22/2015,12/22/2015 17:31,12/22/2015,12/22/2015 17:35,Y,11111,NA,,,,,,,Environmental Health,,,Request,,,,
Dispatcher Notes - Animal,Closed - Not Enough Info,Email - 311,12/25/2015,12/25/2015 12:05,12/26/2015,12/26/2015 15:58,Y,,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,12/26/2015,12/26/2015 19:51,12/26/2015,12/26/2015 21:17,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
Submitted Question to PocketGov,Closed - Answer Provided,PocketGov,12/29/2015,12/29/2015 1:51,12/29/2015,12/29/2015 14:37,Y,0,NA,,,,,-104.9846994,39.73914743,Public Works,,,Request,,,,
test,Closed - Created in Error,Phone,12/29/2015,12/29/2015 19:00,1/7/2016,1/7/2016 16:48,Y,,NA,,,,,,,311,,,Request,,,,
Complaint,Closed - Answer Provided,Phone,12/3/2015,12/3/2015 15:33,12/3/2015,12/3/2015 17:09,N,,n/a,,,,80207,-104.922188,39.76054413,Environmental Health,,,Request,,,,
Animal Attack,Routed to Agency,Phone,12/4/2015,12/4/2015 21:54,,,,,N/A,,,,,,,Environmental Health,,,Complaint,,,,
Dead Animal,Closed - Other,Phone,3/23/2015,3/23/2015 19:32,3/23/2015,3/23/2015 23:59,Y,99999,Montview,Moline,,,,0,0,Public Works,,,Request,,,,
Dead Animal,Closed - Other,Phone,9/29/2015,9/29/2015 11:31,9/29/2015,9/29/2015 23:59,N,,Monaco Pkwy,12th Ave,,,,0,0,Public Works,,,Request,,,,
Loose Dog Without Owner / Leash Law Violation,Closed - Other,Phone,9/18/2015,9/18/2015 12:51,11/8/2015,11/8/2015 23:59,N,80138,Mississippi,Zuni,,,,0,0,Environmental Health,,,Complaint,,,,
Dead Animal,Closed - Other,Phone,9/21/2015,9/21/2015 8:32,9/21/2015,9/21/2015 23:59,N,80239,Maxwell,Billing,,,,0,0,Public Works,,,Request,,,,
Dead Animal,Closed - Other,Phone,4/22/2015,4/22/2015 8:30,4/22/2015,4/22/2015 23:59,N,80207,Martin Luther King Jr  Bv,Fairfax,,,,0,0,Public Works,,,Request,,,,
Loose Dog Without Owner / Leash Law Violation,Closed - Other,Phone,4/28/2015,4/28/2015 13:36,6/27/2015,6/27/2015 23:59,N,80239,Lackland Dr,Tulsa Wy,,,,0,0,Environmental Health,,,Complaint,,,,
Pothole needs repair,Closed - Other,Phone,6/10/2015,6/10/2015 17:37,6/12/2015,6/12/2015 23:59,N,99999,Illiff Ave,Holly St,,,,0,0,Public Works,,,Request,,,,
trash on stapleton dr,Closed - Answer Provided,Phone,12/8/2015,12/8/2015 23:29,12/10/2015,12/10/2015 16:12,N,,I-70 & Quebec,,,,,-104.9035969,39.7783016,Parks & Recreation,,,Request,,,,
loose dog,New,Phone,12/18/2015,12/18/2015 14:52,,,,,I-25 20th st,,,,,-104.9991514,39.75808301,Environmental Health,,,Request,,,,
check park,New,Phone,11/20/2015,11/20/2015 20:35,,,,,Huston park,,,,,-105.0179965,39.70041937,Environmental Health,,,Request,,,,
Street Light Outage,Closed - Other,Phone,9/2/2015,9/2/2015 21:23,9/3/2015,9/3/2015 23:59,Y,80238-3503,Gp:9157 E 35th Ave,,,,80238-3503,-105,40,Public Works,,,Request,,8,5,Stapleton
Pothole needs repair,Closed - Other,PocketGov,8/26/2015,8/26/2015 9:17,8/28/2015,8/28/2015 23:59,N,80230-6889,Gp:895 N Dahlia St,,,,80220-4214,-105,40,Public Works,,,Request,,5,2,Hale
Police Department General Inquiry,Closed - Other,PocketGov,7/11/2015,7/11/2015 22:27,7/20/2015,7/20/2015 23:59,N,99999,Gp:851 S Pecos St,,,,80223-2621,-105,40,311,,,Inquiry,,7,4,Athmar Park
Graffiti on Public Property - ONLINE,Closed - Other,PocketGov,4/7/2015,4/7/2015 11:52,4/10/2015,4/10/2015 23:59,N,99999,Gp:739 N Marion St,,,,80218-3433,-105,40,Public Works,,,Complaint,,10,3,Country Club
Graffiti on Private Property - Online,Closed - Other,PocketGov,4/20/2015,4/20/2015 14:01,4/22/2015,4/22/2015 23:59,N,99999,Gp:4600 N Clayton St,,,,80216-2931,-105,40,Public Works,,,Complaint,,9,2,Elyria Swansea
Number of Vehicles,Closed - Other,PocketGov,4/28/2015,4/28/2015 7:42,4/30/2015,4/30/2015 23:59,N,80211,Gp:4021 N Navajo St,,,,80211-2528,-105,40,Community Planning & Development,,,Complaint,,1,1,Sunnyside
Noise Complaints,Closed - Other,PocketGov,5/24/2015,5/24/2015 16:05,5/24/2015,5/24/2015 23:59,Y,99999,Gp:4019 N Navajo St,,,,80211-2528,-105,40,Environmental Health,,,Complaint,,1,1,Sunnyside
Police Department General Inquiry,Closed - Other,PocketGov,6/6/2015,6/6/2015 23:01,6/14/2015,6/14/2015 23:59,N,80211,Gp:4019 N Navajo St,,,,80211-2528,-105,40,311,,,Inquiry,,1,1,Sunnyside
Encumbrance on right of way,Closed - Other,PocketGov,3/8/2015,3/8/2015 12:08,3/13/2015,3/13/2015 23:59,N,80220,Gp:385 N Grape St,,,,80220-5760,-105,40,Community Planning & Development,,,Complaint,,5,3,Hilltop
Pothole needs repair,Closed - Other,PocketGov,6/30/2015,6/30/2015 18:23,7/2/2015,7/2/2015 23:59,N,99999,Gp:3809 W 23rd Ave,,,,80211-4405,-105,40,Public Works,,,Request,,1,1,Sloan Lake
Pothole needs repair,Closed - Other,PocketGov,8/17/2015,8/17/2015 9:48,8/19/2015,8/19/2015 23:59,N,,Gp:3801 E Florida Ave,,,,80210-2571,-105,40,Public Works,,,Request,,6,3,Cory - Merrill
Street paving or pavement repair,Closed - Answer Provided,PocketGov,8/21/2015,8/21/2015 10:20,11/17/2015,11/17/2015 23:42,Y,80230-6889,Gp:3801 E Florida Ave,,,,80210-2571,-105,40,Public Works,,,Request,,6,3,Cory - Merrill
Pothole needs repair,Closed - Other,PocketGov,3/27/2015,3/27/2015 19:26,3/31/2015,3/31/2015 23:59,N,99999,Gp:3495 S University Blvd,,,,80113-3139,-105,40,Public Works,,,Request,,,,
Curb & Gutter,Closed - Other,PocketGov,8/21/2015,8/21/2015 11:41,9/28/2015,9/28/2015 23:59,N,80230-6889,Gp:33 N Rosemary St,,,,80230-7007,-105,40,Public Works,,,Request,,5,3,Lowry Field
Recycle/Trash Problem,Closed - Other,PocketGov,8/5/2015,8/5/2015 7:08,8/21/2015,8/21/2015 23:59,N,80207-2749,Gp:3084 N Forest St,,,,80207-2749,-105,40,Public Works,,,Complaint,,8,2,North Park Hill
Graffiti on Public Property - ONLINE,Closed - Other,PocketGov,6/29/2015,6/29/2015 16:55,7/2/2015,7/2/2015 23:59,N,99999,Gp:2728 N York St,,,,80205-4661,-105,40,Public Works,,,Complaint,,9,2,Skyland
Pothole needs repair,Closed - Other,PocketGov,6/11/2015,6/11/2015 6:20,6/15/2015,6/15/2015 23:59,N,99999,Gp:2685 N Perry St,,,,80212-1230,-105,40,Public Works,,,Request,,1,1,Sloan Lake
Graffiti in Park,Closed - Other,Phone,10/25/2015,10/25/2015 13:09,10/27/2015,10/27/2015 23:59,N,,Gp:2647 N Xanthia Ct,,,,80238-2610,-105,40,Public Works,,,Complaint,,8,5,Stapleton
Graffiti in Park,Closed - Other,Phone,10/25/2015,10/25/2015 13:09,10/27/2015,10/27/2015 23:59,N,,Gp:2647 N Xanthia Ct,,,,80238-2610,-105,40,Public Works,,,Complaint,,8,5,Stapleton
